[00:00:00--00:00:02] 然后我们接下来进入到下一个环节
[00:41:57--00:42:02] 然后去呃建立一个对于一个cluster的任务
[00:42:02--00:42:04] 然后他可能每一个都是单独的
[00:42:04--00:42:06] 然后可能是比如说给他一个说明书
[00:42:06--00:42:08] 然后他就不停的往这个方向去做对吧
[00:42:08--00:42:11] 然后这个呃去去去去去做这个事情
[00:42:11--00:42:15] 然后从产品的角度来讲就是呃我可能最关心的就是
[00:42:15--00:42:18] 怎么能denoise这个用户的呃这个信号
[00:42:18--00:42:22] 然后让他变成这个self evolution的agent的这个target
[00:42:22--00:42:26] 然后其实呃没有一个非常好的这个答案跟结论
[00:42:26--00:42:29] 因为这个用户他可能比如说你他他问你一个问题
[00:42:29--00:42:31] 然后你给他说了几种可能
[00:42:31--00:42:32] 然后他可能在里面选了一个
[00:42:32--00:42:34] 但是你也不知道他选了哪个
[00:42:34--00:42:36] 所以就没有拿到这个feedback
[00:42:36--00:42:39] 然后用户实际上他点赞点彩的这个次数又非常少
[00:42:39--00:42:43] 然后那我怎么能找到有效signal来提升他
[00:42:43--00:42:47] 我觉得可能是就是self evolution的这个这个方式
[00:42:47--00:42:52] 在嗯在这个实际应用里面的一个非常大的障碍
[00:42:52--00:42:56] 但我们的整个期望是可以希望这个self evolution的agent
[00:42:56--00:42:59] 可以呃更多的在macron里面上班
[00:42:59--00:43:03] 然后就是呃我们希望就是在macron里面有各种各样的agent
[00:43:03--00:43:05] 然后他们处理各种各样的事情
[00:43:05--00:43:07] 有人就是帮你去呃算星盘
[00:43:07--00:43:09] 然后有人可能帮你去看健康饮食
[00:43:09--00:43:11] 有人可能就是帮你去看论文
[00:43:11--00:43:13] 然后但是就是他们都在这里面上班
[00:43:13--00:43:15] 他可以不停的自己自己去计划
[00:43:15--00:43:19] 对嗯嗯对
[00:43:19--00:43:22] 我也我也非常赞同刚刚萧生所说的
[00:43:22--00:43:25] 那我们先请余帅老师来分享你呃你的看法
[00:43:25--00:43:30] 嗯嗯对我觉得的话可能对于self evolution agent
[00:43:30--00:43:34] 最有价值的问题可能是说呃他的进化过程
[00:43:34--00:43:36] 是不是可以理解甚至被控制
[00:43:36--00:43:38] 所以如果说出了问题能不能被问责啊
[00:43:38--00:43:40] 这样一个层面上
[00:43:40--00:43:43] 因为呃如果说一个agent他能够
[00:43:43--00:43:46] 假如说我们他假如说他能够无限进化
[00:43:46--00:43:48] 那会出现问题就在于他越来越强大
[00:43:48--00:43:52] 那对于人来说你做出了一个非常强大的东西
[00:43:52--00:43:54] 但你又不能解释他不能控制他
[00:43:54--00:43:57] 那可能对人来说是有灾害的
[00:43:57--00:44:00] 那有这样一个悬而未决的问题来说
[00:44:00--00:44:04] 对于人类社会他是很难把它呃任由他长大的
[00:44:04--00:44:07] 首先从从从这个社会伦理角度来讲
[00:44:07--00:44:09] 他就会被限制啊
[00:44:09--00:44:10] 如果说这个东西做不到的话
[00:44:10--00:44:12] 我觉得他是会首先是会被人去限制的
[00:44:12--00:44:15] 那就会阻碍他的这个训练啊或者说推你
[00:44:15--00:44:17] 然后从另外一个角度讲就是说呃
[00:44:17--00:44:20] 就是说呃对于训练模型的人来讲呃
[00:44:20--00:44:23] 如果说每一步的进化他是可以被理解的
[00:44:23--00:44:26] 那做每一次实验我觉得是会更快的
[00:44:26--00:44:30] 首先你如果说你呃训练完之后这个呃
[00:44:30--00:44:34] 模型也好呃他他能够呃推你能力更强了
[00:44:34--00:44:35] 你可能通过batchmark能去评测
[00:44:35--00:44:38] 但是跑一轮这个训练再推你评测
[00:44:38--00:44:39] 但是跑一轮这个训练再推你评测
[00:44:39--00:44:41] 可能是会很耗时间的
[00:44:41--00:44:43] 但如果说他某个单点的呃进化
[00:44:43--00:44:45] 你能够及时的去理解去感知
[00:44:45--00:44:49] 那可能对于这个嗯做实验的速度也是会更快的
[00:44:49--00:44:53] 所以说我认为这个嗯可解释可理解啊
[00:44:53--00:44:57] 是比较重要的在接下来那个资金化
[00:44:57--00:44:59] 艺术里面的这个研究里面
[00:44:59--00:45:04] 对对我也是觉得safety啊或者说说伦理啊
[00:45:04--00:45:07] AIS这这些东西在Agent的越来越侵入
[00:45:07--00:45:08] 我们人类社会的时候
[00:45:08--00:45:10] 或者说Agent能够能力越来越强的时候
[00:45:10--00:45:13] 这些东西肯定是要被更多的关注到
[00:45:13--00:45:18] 尤其是当当autonomy然后个性化跟safety
[00:45:18--00:45:21] 我觉得我自己理解成这是一个不可能三角
[00:45:21--00:45:23] 就是当Agent的能力越来越强
[00:45:23--00:45:24] 他的自动化程度越来越高
[00:45:24--00:45:26] 他能控制的工具也好
[00:45:26--00:45:28] 他掌握的memory也好
[00:45:28--00:45:29] 越来越强
[00:45:29--00:45:32] 那用户呢对他就会有越来越高的需求
[00:45:32--00:45:34] 或者越来越高的期望
[00:45:34--00:45:38] 那环境呢其实也会有一些safety的限制
[00:45:38--00:45:41] 或者说伦理啊或者是这个可解释啊等等
[00:45:41--00:45:46] 那怎么去实现这三者之间的一个建模
[00:45:46--00:45:49] 或者实现这三个之间的这样一个不可能三角
[00:45:49--00:45:52] 我觉得确实是一个比较比较复杂的
[00:45:52--00:45:54] 或者是需要更多探讨的一个问题
[00:45:54--00:45:58] 对我觉得这里是就anyway就是说今天
[00:45:58--00:46:01] 三位嘉宾刚好其实是从三个不同的角度吧
[00:46:01--00:46:03] 第一个其实魏文讲的是边界
[00:46:03--00:46:05] 就是内部画和外部画边界
[00:46:05--00:46:07] 第三第二个肖腾老师讲的是
[00:46:07--00:46:09] evaluation benchmarking等等
[00:46:09--00:46:13] 包括怎么去考虑用户这一侧的个性化
[00:46:13--00:46:16] 或者是用户性噪声信号也好
[00:46:16--00:46:19] 然后虞帅老师刚好讲的是这个safety
[00:46:19--00:46:22] 这样子的或者是社会伦理
[00:46:22--00:46:24] expermability这样一些视角
[00:46:24--00:46:26] 我觉得刚好是三个不同的方向
[00:46:26--00:46:29] 然后呢这三个方向其实都是围绕的self-involving
[00:46:29--00:46:30] 这样一个核心的一个方向
[00:46:30--00:46:34] 我觉得都是可以都是非常值得进一步探索的问题
[00:46:34--00:46:37] 那今天由于时间的关系
[00:46:37--00:46:39] 我们就panel的讨论就先到这里
[00:46:39--00:46:43] 然后因为魏文老师和肖上老师五点都有个会
[00:46:43--00:46:44] 所以他们就提前下去了
[00:46:44--00:46:46] 然后大家如果有什么问题
[00:46:46--00:46:51] 欢迎大家通过线上的渠道去联系魏文老师
[00:46:51--00:46:53] 肖上老师或者是余帅老师
[00:46:53--00:46:54] 然后非常抱歉
[00:46:54--00:46:57] 因为可能我刚刚就早上起了太早
[00:46:57--00:47:00] 我在英国所以刚刚叫错了老师您的名字
[00:47:00--00:47:01] 对然后非常抱歉
[00:47:01--00:47:02] 对对对
[00:47:02--00:47:06] 然后非常感谢余帅老师过来参加我们今天的谈论讨论
[00:47:06--00:47:09] 然后也欢迎各位听众或者观众
[00:47:09--00:47:10] 如果有或许的问题
[00:47:10--00:47:12] 也欢迎去跟今天到场的嘉宾
[00:47:12--00:47:15] 包括余帅老师去做进一步的探讨
[00:47:15--00:47:17] 然后再次感谢大家的到来
[00:47:17--00:47:19] 然后感谢余帅老师的到来
[00:47:19--00:47:21] 我们今天的环节就到这里
[00:47:21--00:47:22] 谢谢大家
[00:47:22--00:47:23] 谢谢大家
[00:47:23--00:47:24] 拜拜
