[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 今天这场对话让我感受到了一种冰冻解风后的人间烟火气息
[03:06:43] 其实在这个巨大的随机过程里面
[03:06:46] 重或不重一点都不重要
[03:06:49] 所以我们接下来又投另外一个会
[03:06:51] 那什么也没改
[03:06:52] 又中了一篇hour paper
[03:06:54] 所以
[03:06:55] 再次证明这个完全是一个纯粹的随机过程
[03:06:57] 但之后发生的事情
[03:06:59] 就比这个paper更加有趣
[03:07:00] 就拿到这个paper之后
[03:07:02] 我发现
[03:07:02] 这件事情在各个维度上
[03:07:04] 都比一个unit based的system要好
[03:07:08] why not
[03:07:09] 你就应该用这件事
[03:07:10] 对吧 你统一了你的
[03:07:12] 底层的这个逻辑
[03:07:13] 至少在架构上面统一了这个逻辑
[03:07:15] 你可以share很多这种infrastructure
[03:07:17] 它又这么efficient
[03:07:19] 结果又好 又scalable
[03:07:20] 你可以创建更大的模型
[03:07:22] 所以我们就想
[03:07:23] 这件事情 这个paper发出去
[03:07:25] 那一定会有很多关注
[03:07:26] which by the way确实有很多关注
[03:07:27] 就是推出很多人讨论
[03:07:29] 但是我们发现
[03:07:30] 好像没有人真的用它干任何事
[03:07:34] 然后我们开始就
[03:07:35] 开始跟大家聊
[03:07:36] 比如说我们去找stable diffusion的人
[03:07:38] by the way我觉得stable diffusion ldm也是一个
[03:07:41] 在我看起来属于那20几篇paper里面的一个
[03:07:45] 但我跟他们也有些人也在去聊
[03:07:47] 然后我们跟
[03:07:48] 一些其他的大公司也有在聊
[03:07:50] 我们相当于在学校里面
[03:07:52] 那时候我已经
[03:07:52] 就相当于这篇paper是
[03:07:54] 是刚好落脚在
[03:07:55] 我在fair的最后和我在myo开始
[03:07:58] 所以两边都是
[03:07:59] 数名什么这样的话
[03:08:00] 对对对
[03:08:00] 其实不是其实是
[03:08:02] 只数了myo的名字
[03:08:03] 和berkeley的名字
[03:08:05] 因为fair不让我们数名
[03:08:06] 为什么
[03:08:07] 因为第一是他们觉得
[03:08:09] 这篇paper it's ok it's a paper
[03:08:11] 第二是那你已经离开了不要数我们名
[03:08:14] 不要借我们fair的名声
[03:08:16] 给你
[03:08:18] 有趣
[03:08:19] 灯光天才
[03:08:22] 然后anyway吧
[03:08:23] 其实本账还是一些legal的原因吧
[03:08:26] 反正就没有数名
[03:08:27] 所以是数的myo名
[03:08:28] 但这件事情是一个在fair完整的做完的事情
[03:08:32] 对世界总是这么讽刺
[03:08:34] 有点讽刺对
[03:08:35] 然后后来反正
[03:08:37] 发生的事情大家也知道
[03:08:38] 那就是bill跑去openai
[03:08:40] 那说好你们都不买账
[03:08:42] 那我自己来做这件事
[03:08:43] 是这个原因
[03:08:44] 是这个原因对
[03:08:46] 或者说那时候他也在跟我讨论
[03:08:48] 说到底应该去
[03:08:49] 找什么工作
[03:08:50] 他有好多
[03:08:51] 不同的offer
[03:08:52] 然后有些startup
[03:08:53] 有openai
[03:08:54] 然后也有一些大公司
[03:08:57] 然后然后
[03:08:58] 然后那时候他才第三年
[03:09:00] 然后他也是这个
[03:09:02] 我觉得也是有一个非常好
[03:09:04] 非常好的这种
[03:09:05] 可能比我强多了的这种预测模型吧
[03:09:07] 我觉得他是能看到说
[03:09:09] 要早点加入openai
[03:09:12] 现在不得了
[03:09:13] 那是哪一年
[03:09:14] 是这个22年
[03:09:20] 年底
[03:09:21] 22年年底
[03:09:22] 对22年年底
[03:09:24] 那个时候不是
[03:09:26] ChashBD刚出来吗
[03:09:27] 是啊
[03:09:28] 他就加入了
[03:09:29] 对
[03:09:30] 就是他加入了
[03:09:31] 你们这个工作就做完了吗
[03:09:33] 对
[03:09:33] 你们不是在ChashBD之后做的吗
[03:09:35] 不是因为我是23年1月
[03:09:39] 就已经到MYU了
[03:09:40] 所以这个工作其实是
[03:09:42] 上一年22年的暑假了
[03:09:44] 开始的一个工作
[03:09:45] 所以是在ChashBD之前就做了
[03:09:47] 之前对
[03:09:48] 所以这是为什么openai
[03:09:50] 我觉得也很厉害
[03:09:52] 就他能够意识到
[03:09:55] 比如Build的才能
[03:09:57] 并且
[03:09:58] 能够
[03:09:59] 让他们有一个包括Teambooks
[03:10:01] 让他们能够有一个这样一个
[03:10:04] 很bottom up
[03:10:05] 在我看起来其实是一个蛮research的一个effort
[03:10:08] 给他们足够多自由度跟资源
[03:10:10] 让他们做一个在之前大家想都不敢想的事情
[03:10:13] 这件事情就是Sora
[03:10:15] 对吧
[03:10:16] 我觉得这件事情
[03:10:18] 至少在当初Fair是没有这个基因的
[03:10:21] 大公司也不会有这个基因
[03:10:22] 就如果你们没有离职
[03:10:24] 还在Fair
[03:10:26] 他们依然不会用DIT
[03:10:28] 那我觉得也不见得
[03:10:30] 倒不是用不用的问题
[03:10:31] 我觉得更多的是
[03:10:33] 怎么样能催生出这样新的这种创新的
[03:10:36] 这种结果
[03:10:38] 对
[03:10:39] 然后我觉得或者说这个架构只是其中一部分
[03:10:42] 我觉得他一点都不重啊
[03:10:43] 他只是
[03:10:44] 他只是一个选择
[03:10:46] 他battle这件事情
[03:10:48] 对要battle
[03:10:48] 或者相信这件事情能做成
[03:10:50] 我觉得这件事情不是所有人都能相信得了的
[03:10:55] 我觉得这件事情其实是非常厉害的
[03:10:57] 这其实在讲的是Sora的
[03:10:58] 超度单纯频道
[03:11:00] 那么jayえっと我喜欢讲了
[03:11:02] Shora的很多
[03:11:04] 三小时是
[03:11:05] 我是以前是一个
[03:11:07] 很有陆生训 stove
[03:11:08] 把quis迪看失之前
[03:11:09] 我一直对她在will
[03:11:09] 的礼噉
[03:11:10] 我一直曾经有用 substances
[03:11:11] 那KY
[03:11:15] Luther at
[03:11:18] Shift
[03:11:20] 有桀骁
[03:11:21] 听了我建议
[03:11:21] 听了我大家都 etwa
[03:11:23] 尽包括قط
[03:11:24] 对手
[03:11:24] 电� Holy
[03:11:26] 对 simas
[03:11:27] …
[03:11:27] de
[03:11:28] 业公司在非常非常早期的时候
[03:11:30] 然后跟我聊
[03:11:32] 然后想要说
[03:11:33] 就我可能是第一个
[03:11:35] 看他们的demo的人
[03:11:36] 也许可以说吧
[03:11:38] 就是这个Arovent
[03:11:39] Perplexity的Arovent
[03:11:41] 然后他从OPI出来
[03:11:45] 在Palado的这个
[03:11:47] Blue Bottle的这个咖啡店
[03:11:50] 这也是一个硅谷里面
[03:11:51] 很多事情发生的一个地方
[03:11:54] 很小
[03:11:55] 我可能是
[03:11:57] 至少是第一第二个
[03:11:58] 看到他的一个demo的这样一个人
[03:12:00] 他拿着一个电脑
[03:12:02] 给我看一个
[03:12:04] 一个浏览器
[03:12:06] 然后说我们要
[03:12:07] 革了Google的命
[03:12:09] 然后我说你这个好厉害
[03:12:11] 但我心里面觉得
[03:12:12] 这个是什么东西
[03:12:14] 这个不就是
[03:12:16] GPT套的一个壳
[03:12:18] 然后Why are you doing this
[03:12:20] 对吧
[03:12:21] 所以他说要不要一起来做
[03:12:23] 我说我还是比较enjoy
[03:12:26] being an
[03:12:26] 因为我自己是个人
[03:12:27] 所以我自己是个人
[03:12:31] 但后来其实确实我觉得
[03:12:33] 我觉得我对创业者的
[03:12:35] 这个认知在过去的几年
[03:12:39] 也发生了一些变化
[03:12:39] 然后我觉得这件事情
[03:12:41] 跟research还真的不一样
[03:12:43] 有很多相通的地方
[03:12:45] 但也有一些不同的点
[03:12:46] 对
[03:12:48] 然后但anyway
[03:12:49] 就是这个又扯远了
[03:12:51] 然后工作上
[03:12:53] 我觉得我们可以
[03:12:53] 快速地讲一讲
[03:12:56] 后面的一些东西
[03:12:56] 因为我可能可以最后总结一下
[03:12:58] 对
[03:12:59] 除了普普拉斯蒂
[03:13:00] 还错过了谁
[03:13:01] 其他的不说
[03:13:04] 其他的有可能是刚错过
[03:13:05] 或者我还不知道
[03:13:07] 是不是错过的一些地方
[03:13:08] 对
[03:13:12] 但其实没有什么错过
[03:13:14] 或者说我在现在这个时间点里
[03:13:15] 我并没有后悔任何的决定
[03:13:17] 我觉得每一个决定
[03:13:19] 都是比较忠诚于我的内心
[03:13:23] 然后在做我想做的这件事情
[03:13:25] 有可能这些决定很傻
[03:13:26] 有可能从一些纬度上来看
[03:13:28] 其实是一个错误的决定
[03:13:30] 但我现在会觉得第一很知足
[03:13:33] 第二我觉得像你说的
[03:13:35] 这是属于我的一条路
[03:13:37] 这条路还能通向更远的未来
[03:13:40] 我还会在这条路上继续走
[03:13:41] 所以我觉得非常感恩
[03:13:44] 反正DIT之后
[03:13:45] 然后我们又做了一个工作
[03:13:48] 然后把这个flow matching
[03:13:50] 就是把这个新的objective
[03:13:52] 然后在transformer setting下面
[03:13:54] 也把它拓展起来
[03:13:56] 对
[03:13:57] 然后每次也是都是当笑话讲了
[03:14:01] 也是先投稿
[03:14:02] 然后又被拒了
[03:14:03] 然后同样的原因
[03:14:05] 但是again经过这样次数多了之后
[03:14:10] 我觉得我就基本上免疫了
[03:14:12] 或者这件事情其实还是蛮叫做反脆弱的
[03:14:17] 塔勒布有一本书叫做反脆弱
[03:14:20] 对吧
[03:14:20] 然后我觉得我当初讲无限游戏的时候
[03:14:24] 我其实也提到这个观点
[03:14:26] 就是说我觉得research其实必须得要是一个反脆弱的系统
[03:14:30] 这个反脆弱是什么意思呢
[03:14:31] 就是说一个组织或者一个个人或者一个事情
[03:14:35] 它如果是反脆弱的
[03:14:36] 就是anti-fragile
[03:14:38] 他的意思是说一个可能的这样一个random的event
[03:14:44] 某种黑天鹅事件或者说某种shock
[03:14:47] 就一种一种一种这种这种令你感到惊讶的一个事件的发生
[03:14:53] 这件事情如果对于这个组织
[03:14:55] 对于这个人或者对于这个事情来说
[03:14:57] 你的收益要比你的损失要大
[03:15:00] 那你的这个组织就是一个反脆弱的组织
[03:15:04] 但如果你立刻被这个shock击倒了
[03:15:07] 那你就是一个脆弱的组织
[03:15:09] 所以我看起来就是说这个research这件事情
[03:15:14] 其实是一个怎么样让大家变得越来越反脆弱的
[03:15:18] 这样一个事情
[03:15:20] 然后所以paper被拒了也没那么伤心了
[03:15:24] 然后当然好
[03:15:25] 但是这个事情其实是一个反脆弱的事情
[03:15:25] 但是后来我觉得就是像像dit然后sit都会变成一个相当于学术界的一个一个baseline吧
[03:15:33] 然后让大家可以继续在它上面做各种各样的事情
[03:15:37] 然后我觉得它的历史这个这个任务也达到
[03:15:40] 所以这是在diffusion上面
[03:15:43] 当面后来还做了很多其他的事情
[03:15:45] 但是我可能想说一下我们最近
[03:15:47] 比如说有一套另外的事情叫做叫做这个cambrian
[03:15:51] 对吧
[03:15:52] cambrian series
[03:15:52] 对啊中文叫做韩武记
[03:15:55] 对但是这个韩武记这个东西对我也我也讲了什么善武记的吧
[03:16:00] 就是说这个这个leading theory说viren的演化带来了物种之间的在viral能力上面的这种群配竞赛
[03:16:11] 然后导致了这种物种的大爆发
[03:16:13] 然后所以大家有时候会觉得韩武记是一个视觉的起点
[03:16:18] 对
[03:16:19] 然后说到这个韩武记了
[03:16:21] 那那可能再插一句
[03:16:22] 就是说其实如果你看整个
[03:16:25] 地球的历史
[03:16:28] 我们把尺度放得更远一点
[03:16:30] 从538个million years ago
[03:16:33] 一直到现在
[03:16:34] 对吧
[03:16:35] 其实所谓的modern behavior
[03:16:37] 这种这种behavioral
[03:16:39] modernity
[03:16:40] 就是所谓的
[03:16:42] 这种行为现代化
[03:16:44] 这件事情是在过去的三万到五万几年前发生的
[03:16:49] 所以如果假设从韩武记大爆发
[03:16:53] 然后开始地球上开始出现这种
[03:16:55] 这种物种开始一直到现在
[03:16:58] 如果我们把它缩短到一天对吧
[03:17:00] 假设所有这一切都只是在24小时内发生的
[03:17:04] 那其实有语言的部分
[03:17:07] 有这种behavioral modernity
[03:17:10] 然后大家可以有某种abstract thinking
[03:17:13] 某种symbolic reasoning
[03:17:15] 这一部分的过程
[03:17:17] 其实在这一天中只占了最后
[03:17:20] 你猜猜大概多长时间
[03:17:25] 三个小时
[03:17:28] 高估了高估了
[03:17:30] 三分钟
[03:17:31] 还是高估了
[03:17:32] 三秒钟
[03:17:33] 大概大概是八秒到十秒吧
[03:17:36] 你怎么算
[03:17:37] 所以在这个历史的长河里面
[03:17:39] 其实我们有语言的时间其实是非常非常短暂的
[03:17:44] 然后但是由于我们是人
[03:17:47] 我们总会从
[03:17:48] 从人的角度去思考这个事情去看待这个历史
[03:17:52] 所以我们会觉得好像
[03:17:55] 语言
[03:17:56] 自然而然就是人的智能的一部分
[03:17:59] 然后这也是区别于
[03:18:01] 人的智能跟其他动物智能的一个主要的区别
[03:18:04] 但anyway就是这个可能又扯的有点远
[03:18:08] 我们等一下可以come back to this
[03:18:09] 我想说的是这个Cambrian series
[03:18:12] 之所以取这个题目
[03:18:14] 就是因为我们当初觉得
[03:18:17] 现在这个多摩泰大模型这么火热
[03:18:21] 但我们又像
[03:18:22] 有点像当初confnex的时候
[03:18:24] 一样的视角
[03:18:25] 我们希望能够去检验一下
[03:18:27] 现在正在发生的事情
[03:18:30] 然后以一个比较solid
[03:18:33] 比较scientific的方式去研究一下到底什么重要
[03:18:36] 什么不重要
[03:18:37] 所以这是这个Cambrian model的出发点
[03:18:39] 然后这件事情在之前还有另外一篇paper
[03:18:42] 叫做SY Shot
[03:18:44] 这边有导演朋友
[03:18:47] 这也是库布里克的一个电影
[03:18:49] 所以那篇paper里面讲的事情是说
[03:18:53] 对于这个vision encoder来说
[03:18:56] 其实Clip可能不是最优的
[03:18:58] 它有可能会有它自己的缺陷
[03:19:01] 因为它有这种太多的这种语言的shortcut
[03:19:06] 导致它对视觉的理解方面有可能出现一些偏差
[03:19:10] 所以Cambrian 1其实是这个paper的某种意义上一个延续
[03:19:13] 是说我们怎么样训练一个我们自己的这样一个系统
[03:19:16] 然后在每一块上都做足够充分的study
[03:19:21] 然后但是我们只有一块吧
[03:19:23] 就是我们的LM的部分我们不碰
[03:19:25] 我们不管它
[03:19:26] 然后但我们去study比如说我们的data的构成
[03:19:29] 我们去studyview representations
[03:19:32] 对吧
[03:19:33] 然后这种表征
[03:19:34] 然后以及后续的这些比如说各种各样的架构
[03:19:39] 这种视觉处理的架构等等的一系列东西
[03:19:42] 对
[03:19:43] 所以它是一个蛮大的一个effort
[03:19:45] 所以很多时候有工业界的朋友问我说
[03:19:49] 我很好奇你们是怎么组织起来
[03:19:52] 这么多学生
[03:19:53] 然后做这么大的一个collaborative project的
[03:19:56] 对吧
[03:19:57] 然后其实我也没有答案
[03:19:59] 那非要问我的话
[03:20:00] 那就是学生给力
[03:20:01] 对大家愿意去探求这个问题
[03:20:05] 并且能够以比较好的方式在一起合作
[03:20:10] 对然后当然还这里面会有一个基础
[03:20:12] 这件事情蛮好玩的
[03:20:13] 可以分享一下
[03:20:14] 我刚刚提到说凯明当初不是在tpo上面去build infrastructure
[03:20:19] 然后这个从无到有
[03:20:20] 我们有了自己的资源
[03:20:21] 然后他lead to了比如说像Moco MAE
[03:20:25] 还有dit这样的工作
[03:20:27] 所以很自然而然
[03:20:29] 然后到了后面在nyu的时候
[03:20:31] 我就在考虑说我们到底能不能去也在tpo上做一些事情
[03:20:35] 因为google其实还是对感谢google
[03:20:39] google也是一个非常generalist的company
[03:20:43] 然后他有一个program叫做trc
[03:20:46] 就是tpo research cloud
[03:20:48] 他无偿的给学生
[03:20:51] 给学术界的学生
[03:20:52] 还有老师们去用这部分计算机计算资源
[03:20:56] 对但这部分资源极其难用
[03:20:59] 因为还是面临一样的问题
[03:21:01] 就是没有这个ecosystem
[03:21:03] 所以没有infrastructure
[03:21:04] 没有基础架构
[03:21:06] 也没有codebase
[03:21:07] 很多东西pat torch放在上面不work
[03:21:10] 这一面其实就我们开始面临了这样一个抉择
[03:21:13] 一方面我们从google拿到了一些资源
[03:21:16] 我们可以有更多的算力
[03:21:18] 绝对的算力去做我们想做的事情
[03:21:21] 另一方面这件事情实在是太难用了
[03:21:24] 所以我跟学生说你们一定要去试一试
[03:21:28] 我也给他们讲了比如凯明的story
[03:21:31] 但是他们试了大概可能一个星期
[03:21:37] 然后回过来说老师实在受不了了
[03:21:41] 我们能不能买个两台h100的机器
[03:21:44] 还是用gpu
[03:21:46] 然后我跟他们说这件事情还是要沉得住气的
[03:21:51] 如果比如说你们试了大概三到四个星期
[03:21:55] 然后发现这件事情确实有技术上的障碍
[03:21:58] 我们确实因为我们不在google
[03:22:00] 没有这一套infrastructure
[03:22:01] 所以有些事情我们确实做不了
[03:22:03] 或者我们解决不了
[03:22:05] 我们可以give up
[03:22:06] 然后我们可以去换下一件事情去做
[03:22:08] 但是如果只是因为暂时的这些阻力
[03:22:13] 你只是试了一个星期
[03:22:14] 然后发现这件事情有困难
[03:22:17] 我觉得我们一定要尝试去走出自己的舒适区域
[03:22:21] 去解决一些这些infrastructure的problem
[03:22:24] 即使这是一些可能一开始跟research无关的问题
[03:22:29] 反正学生就被我劝回去了
[03:22:33] 然后继续开始在tpu上面develop我们自己的infrastructure
[03:22:39] 为什么不用gpu呢
[03:22:40] 没钱啊
[03:22:41] 学校很惨的
[03:22:43] 这个又要吐槽学校
[03:22:45] 学校北美的学术界是一个非常非常
[03:22:49] 我觉得
[03:22:50] 处在一个很难的一个境地吧
[03:22:53] 为什么
[03:22:54] 主要还是第一资源不够
[03:22:57] 然后举个简单的例子
[03:22:58] 比如说我们要申请funding
[03:23:01] 美国的这个funding system
[03:23:03] 可能又要飘得有点远
[03:23:05] 但是美国的这个funding system
[03:23:07] 其实在过去的几十年里面都没有什么增长
[03:23:10] 虽然有很高的通胀
[03:23:12] 所有东西都变得很贵
[03:23:14] 学生的学费变得很贵
[03:23:16] 但政府的资助以及各个公司的资助
[03:23:20] 有他们这种proposal这种program
[03:23:23] 有一些资助的项目
[03:23:25] 其实还是维持在一个很低的水平
[03:23:28] 然后大概就是说
[03:23:30] 平均比如像sf这样的美国的政府机构
[03:23:34] 能给到每一个单独的这种pi的这种
[03:23:37] 总共的资助大概就是50万这个级别
[03:23:43] 美元
[03:23:44] 每年大概10万
[03:23:47] 然后大量的公司其实已经变成了
[03:23:49] 少了很多了
[03:23:50] 因为again因为hgpt
[03:23:52] 因为lm的时代到了
[03:23:53] 然后大家慢慢的变得收缩
[03:23:55] 这个我们之后可以再聊
[03:23:57] 但是总之是也有更就是其实这种工业界资助的机会
[03:24:01] 也变得越来越少
[03:24:02] 并且一旦如果有时候有一些这样资助的机会
[03:24:05] 一般会给你比如10万到15万美元
[03:24:08] 就是这么就是一次的一次性的给你这么多钱作为资助
[03:24:12] 但你知道吗
[03:24:13] 大概有100个学校
[03:24:15] 同时100个老师或者更多老师去compete for money
[03:24:19] 然后这10万块钱
[03:24:20] 10万块钱可以干什么呢
[03:24:22] 可以养一个学生一年
[03:24:23] 作为学费
[03:24:25] 还可以干嘛呢
[03:24:27] 可以买半个h100或者300的cluster
[03:24:32] 或者可以买个3到4张卡
[03:24:34] 所以这件事情是做不了事情
[03:24:37] 对吧
[03:24:38] 当然这也不是只是我在吐槽
[03:24:40] 我们所有的其实就是所谓的在美国的
[03:24:43] 青年教师都是生活在水深火热之中的
[03:24:46] 大家都要通过自己的方式去找不同的资源
[03:24:49] 所以这也是为什么有点像创业
[03:24:51] 就是你在一个非常constrained的resource的情况下
[03:24:54] 要去从不同的地方找到不同的资源
[03:24:58] 你要融资对吧
[03:24:59] 小军你这是商业访谈录的
[03:25:01] 我说我这一点不商业
[03:25:02] 但是其实某些地方可能还是有有一些共性的
[03:25:05] 然后包括跟Google的人
[03:25:07] 我们当初我有一个我的合作伙伴在Google
[03:25:10] 然后他也很特殊了
[03:25:12] 他从来不去公司上班
[03:25:14] 然后说他说我们可以聊一聊
[03:25:16] 然后我说好啊
[03:25:17] 那我去聊一聊
[03:25:18] 然后他推过去弯曲去找他
[03:25:20] 然后他说我们可以聊
[03:25:21] 但我们不要在办公室里聊
[03:25:22] 我们一起去Google旁边的trail上面hiking
[03:25:27] 去徒步
[03:25:28] 边徒步边聊
[03:25:29] 所以我大夏天跟着他徒步了一个小时
[03:25:33] 然后跟他讲了讲我们在TPO上面做的一些infrastructure的这些contribution
[03:25:39] 这些贡献
[03:25:40] 然后包括为什么building这样一个更长期的collaboration的
[03:25:45] 这样一个合作伙伴的这样的关系
[03:25:47] 对Google来说对我们来说都是一个好事
[03:25:50] 所以我觉得这不就是一个融资的过程吗
[03:25:53] 所以到后面
[03:25:54] 就化缘了
[03:25:55] 就化缘化缘的过程
[03:25:56] 对确实是因为其实这样的资助其实是不求回报的
[03:26:02] 所以我觉得我也非常感谢Google
[03:26:03] 但anyway我觉得更感谢的还是应该是我这几个学生
[03:26:07] 然后他们一点点然后突破了重重的困境
[03:26:11] 像我几个学生像Peter
[03:26:15] 然后Bernard
[03:26:17] 然后博洋
[03:26:18] 然后书生
[03:26:19] 然后很多人吧
[03:26:20] 然后他们都在TPO上面做了自己的很大的贡献
[03:26:24] 对然后好这是前提就是说我们现在有一些卡可以用了
[03:26:28] 然后现在我们就可以做一些稍微有点跟大模型靠的更近的一些事情
[03:26:33] 所以这是为什么我会做这个combrand的工作
[03:26:36] 对然后当然了所有这些narrative这些story都完全还是我过去这么多年的这些逻辑
[03:26:46] 就是说第一表征非常重要
[03:26:49] 第二不管你在解决的是一个普通的计算机视觉的任务
[03:26:54] 还是我们到了一个多模态大模型的时代
[03:26:57] 然后通过这种VQA的方式去解决这些问题
[03:27:01] 我觉得这些都是都是都是都是像
[03:27:06] 对然后背后背后还是有一些实质性的东西
[03:27:09] 我们要去要去要去要去构想
[03:27:12] 对
[03:27:13] 嗯
[03:27:14] 然后这一部分反正就是一个很重要的问题
[03:27:15] 然后这一部分反正关于语言跟视觉
[03:27:17] 我们可以可以等一下聊
[03:27:18] 然后我然后我们后来又有一个叫做Campus的paper
[03:27:21] 这paper可能就是更进一步
[03:27:24] 我们不只做image level的VQA的task
[03:27:26] 我们希望能够去还是涉及到video去涉及到视频
[03:27:31] 对
[03:27:32] 然后这件事情其实真正让我真的觉得想要做这件事情的原因
[03:27:37] 又要说回到电影啊
[03:27:39] 还跟还跟这个这个这个我喜欢的两个中国的导演还还蛮蛮蛮有关系的
[03:27:44] 写的贾科长
[03:27:46] 贾章科和毕干
[03:27:48] 都是中国很著名的导演
[03:27:51] 然后毕干他路边野餐里面
[03:27:56] 大量的运用这种长镜头
[03:27:58] 这件事情让我觉得
[03:28:00] OK
[03:28:01] 虽然在他来说
[03:28:03] 是一种视觉的工具
[03:28:05] 但这件事情对于人来说
[03:28:07] 又是一个视觉理解的
[03:28:10] 一个很重要的美界
[03:28:12] 就因为什么是长镜头
[03:28:14] 人活在这个世界上
[03:28:15] 就是长镜头
[03:28:16] 我们的眼睛就是我们的相机
[03:28:19] 我们不停歇的
[03:28:21] 在这个世界上面
[03:28:22] 做各种各样的事情
[03:28:24] 对吧
[03:28:25] 然后我们看到的东西
[03:28:26] 这个介质都是video
[03:28:28] 都是视频
[03:28:29] 对吧
[03:28:30] 但是我们又能看到
[03:28:32] 这个视频的这些像素背后
[03:28:34] 的一切东西
[03:28:36] 我们能推理因果
[03:28:37] 我们能感受到空间
[03:28:40] 对吧
[03:28:40] 然后贾成科说了一句话
[03:28:42] 我觉得我非常认同
[03:28:42] 他说这个电影
[03:28:44] 之所以很有意思
[03:28:45] 这个还是他在纽约的时候
[03:28:47] 跟我说
[03:28:48] 他说这个很有意思
[03:28:50] 是因为你如果只看这个timeline的话
[03:28:52] 这是一根时间轴
[03:28:54] 它是一个线性的时间轴
[03:28:56] 但是在这个时间轴的每一个点上
[03:28:59] 你需要一个空间去扩展它的时间
[03:29:02] 就像我们现在在说话
[03:29:06] 虽然是一个静态静止画面
[03:29:08] 但是假设你现在有一个长镜头
[03:29:10] 或者说你今天在纽约街头
[03:29:13] 然后
[03:29:14] 在在当吧大桥下面
[03:29:17] 对
[03:29:18] 其实
[03:29:20] 你看到的还是一个又一个的frame
[03:29:23] 对吧
[03:29:23] 但它背后其实体现出来的东西
[03:29:26] 是这个世界的状态
[03:29:29] 是整个空间的这种全局的信息
[03:29:32] 这件事情是完全超越你的
[03:29:35] 这个镜头所encode的这种
[03:29:38] 这种单独的单一的每一帧每一帧之外
[03:29:42] 我觉得我觉得这件事情非常有道理
[03:29:44] 所以这件事情让我觉得接下来还是得要做视频
[03:29:47] 即使视频难做
[03:29:48] 即使视频需要处理海量的数据
[03:29:51] 但还是要做对
[03:29:53] 所以看吧
[03:29:54] 什么就做这件事情
[03:29:55] 然后这件事情它有点像一个precision paper
[03:29:57] precision paper就是一些应该怎么怎么怎么怎么怎么翻译
[03:30:01] 应该就是一个观点式的论文
[03:30:03] 就是他想我想要提出这样一个观点
[03:30:06] 所以在那里面我们讲某种super sensing的概念
[03:30:08] 就是说超感知的概念
[03:30:11] 然后我们还会他还是一篇关于数据的论文
[03:30:14] 他是一篇关于这个结构架构的论文
[03:30:19] 然后他也是一个关于关于这个这个special intelligence的论文
[03:30:25] 所以菲菲老师也帮我们提提供了很多很多宝贵的建议
[03:30:30] 但核心是说我们想要定义一个范式
[03:30:35] 是说接下来多么太到底应该往哪走
[03:30:37] 对吧
[03:30:38] 然后所以你如果一步一步看这个问题的话
[03:30:40] 就是说我们我们可能是一个不恰当的比喻
[03:30:43] 但是你可以
[03:30:44] 拿无人驾驶里面来类比
[03:30:46] 你可能有一个L0的系统
[03:30:48] 就是什么都没有的系统
[03:30:48] 这个东西就是一个Large-range Model
[03:30:51] 他完全不能观测到这个世界所有的这种Visual knowledge
[03:30:56] 他看不到图片
[03:30:58] 他也看不到视频
[03:31:01] 但是他能够通过语言的方式
[03:31:04] 像柏拉图洞穴预言一样
[03:31:07] 能够侧面的了解这个世界
[03:31:10] 这件事情没问题
[03:31:11] 我们叫他L0
[03:31:13] L1是
[03:31:14] 就是说现在的多么他的系统
[03:31:16] 稍微具备了更好的能力
[03:31:18] 他能够所谓show and tell
[03:31:19] 就是说你给他看一个东西
[03:31:21] 然后他能够告诉你
[03:31:24] 关于你给他看东西的一些答案
[03:31:27] 对吧
[03:31:27] 你问他一个问题
[03:31:28] 他回答一个答案
[03:31:30] 这可能是L1
[03:31:31] 然后L2我觉得是我叫他Streaming Event Calculation
[03:31:36] 就是说现在这个东西不只是看一张静止图片了
[03:31:40] 你会有一个连续的streamable的
[03:31:44] 一个Virial Stream
[03:31:45] 就是视觉流
[03:31:46] 你的智能系统需要能够了解这个视觉流
[03:31:49] 然后能够去process
[03:31:50] 就是处理这个视觉流
[03:31:52] 然后并且能够回答一些问题
[03:31:55] 能够去understand what's happened
[03:31:57] 对吧
[03:31:58] 然后再下一个stage
[03:32:00] 我叫他Special Cognition
[03:32:02] 就是这件事情是我刚刚说的
[03:32:04] 是你在这个时间的序列上面的每一点
[03:32:07] 怎么样去能够看到超越他的当前真的背后的
[03:32:12] 就是这些像素背后的这个空间里面的东西
[03:32:14] 这件事情也是一个人非常unique的本领
[03:32:19] 到最后其实我觉得终局就是说
[03:32:24] 我们需要一个predictive world model
[03:32:26] 对有某种预测性的世界模型
[03:32:29] 这件事情才能告诉你关于你observe的这种real world的一切
[03:32:35] 对我觉得我想通过这个paper想要讲的事情是说
[03:32:40] 我们在build一个阶梯
[03:32:42] 然后一步一步
[03:32:44] 通向一个世界模型的未来
[03:32:47] 我们虽然可能不知道应该怎么define这个世界模型
[03:32:51] 知道在paper里面我们不会去做这样的define的工作
[03:32:55] 但是我们可以去知道有哪些capability是我们必须得要有的
[03:33:02] 对
[03:33:03] 所以这是paper的核心
[03:33:05] 然后paper
[03:33:06] 然后我们也拍了一小段视频
[03:33:09] 这个我还发到了Twitter上
[03:33:11] 也是一些学生就是我们也没有花热门的
[03:33:14] 任何的钱也不是为了宣传
[03:33:16] 就是一些学生拿着摄像机
